headline,category,url,scraped_at,headline_clean,date,hour,polarity,subjectivity,sentiment
ODM sets March 27 special delegates convention amid internal rift,Politics,https://www.standardmedia.co.ke/politics/article/2001542430/odm-sets-march-27-special-delegates-convention-amid-internal-rift,2026-03-06 11:57:00,ODM sets March 27 special delegates convention amid internal rift,2026-03-06,11,0.17857142857142858,0.2857142857142857,Positive
Opposition: Infrastructure Fund linked to Ruto's campaigns,Politics,https://www.standardmedia.co.ke/politics/article/2001542413/opposition-infrastructure-fund-linked-to-rutos-campaigns,2026-03-06 11:57:00,Opposition Infrastructure Fund linked to Ruto's campaigns,2026-03-06,11,0.0,0.0,Neutral
"Kalonzo: Mbadi misled Parliament over Sh5trn fund, Safaricom sale",Politics,https://www.standardmedia.co.ke/politics/article/2001542358/kalonzo-mbadi-misled-parliament-over-sh5trn-fund-safaricom-sale,2026-03-06 11:57:00,"Kalonzo Mbadi misled Parliament over Sh5trn fund, Safaricom sale",2026-03-06,11,0.0,0.0,Neutral
"Orengo labels Ruto a 'dictator,' warns ODM revolution has been hijacked",Politics,https://www.standardmedia.co.ke/politics/article/2001542346/orengo-labels-ruto-a-dictator-warns-odm-revolution-has-been-hijacked,2026-03-06 11:57:00,"Orengo labels Ruto a 'dictator,' warns ODM revolution has been hijacked",2026-03-06,11,0.0,0.0,Neutral
Why ODM strongholds are under siege,Politics,https://www.standardmedia.co.ke/politics/article/2001542317/why-odm-strongholds-are-under-siege,2026-03-06 11:57:00,Why ODM strongholds are under siege,2026-03-06,11,0.0,0.0,Neutral
Gladys Wanga: William Ruto's spanner girl,Politics,https://www.standardmedia.co.ke/politics/article/2001542306/gladys-wanga-william-rutos-spanner-girl,2026-03-06 11:57:00,Gladys Wanga William Ruto's spanner girl,2026-03-06,11,0.0,0.0,Neutral
Why Oburu Oginga camp is desperate for a slice of power,Politics,https://www.standardmedia.co.ke/politics/article/2001542307/why-oburu-oginga-camp-is-desperate-for-a-slice-of-power,2026-03-06 11:57:00,Why Oburu Oginga camp is desperate for a slice of power,2026-03-06,11,-0.6,1.0,Negative
Why Johana Ng'eno's death has sparked political tensions,Politics,https://www.standardmedia.co.ke/politics/article/2001542309/why-johana-ngenos-death-has-sparked-political-tensions,2026-03-06 11:57:00,Why Johana Ng'eno's death has sparked political tensions,2026-03-06,11,0.0,0.1,Neutral
"Inside Gladys Wanga, PS Omollo cold wars",Politics,https://www.standardmedia.co.ke/politics/article/2001542315/inside-gladys-wanga-ps-omollo-cold-wars,2026-03-06 11:57:00,"Inside Gladys Wanga, PS Omollo cold wars",2026-03-06,11,-0.6,1.0,Negative
Anxiety as team readies to hand over Nadco report,Politics,https://www.standardmedia.co.ke/politics/article/2001542316/anxiety-as-team-readies-to-hand-over-nadco-report,2026-03-06 11:57:00,Anxiety as team readies to hand over Nadco report,2026-03-06,11,0.0,0.0,Neutral
Ngunjiri questions Uhuru's choice for Matiangi's presidential candidature,Politics,https://www.standardmedia.co.ke/politics/article/2001542294/ngunjiri-questions-uhurus-choice-for-matiangis-presidential-candidature,2026-03-06 11:57:00,Ngunjiri questions Uhuru's choice for Matiangi's presidential candidature,2026-03-06,11,0.0,0.0,Neutral
ODM under siege after parties invade its strongholds,Politics,https://www.standardmedia.co.ke/politics/article/2001542276/odm-under-siege-after-parties-invade-its-strongholds,2026-03-06 11:57:00,ODM under siege after parties invade its strongholds,2026-03-06,11,0.0,0.0,Neutral
Storm over alleged issuance of passport to Sudanese warlords,Politics,https://www.standardmedia.co.ke/politics/article/2001542259/storm-over-alleged-issuance-of-passport-to-sudanese-warlords,2026-03-06 11:57:00,Storm over alleged issuance of passport to Sudanese warlords,2026-03-06,11,-0.1,0.1,Neutral
"ODM MPs fight over zoning, Sifuna post",Politics,https://www.standardmedia.co.ke/politics/article/2001542213/odm-mps-fight-over-zoning-sifuna-post,2026-03-06 11:57:00,"ODM MPs fight over zoning, Sifuna post",2026-03-06,11,0.0,0.0,Neutral
"Why Wanga, Omollo are in silent war",Politics,https://www.standardmedia.co.ke/politics/article/2001542188/why-wanga-omollo-are-in-silent-war,2026-03-06 11:57:00,"Why Wanga, Omollo are in silent war",2026-03-06,11,0.0,0.1,Neutral
Revealed: How Sh100 million was raised to impeach Mwangaza,Politics,https://www.standardmedia.co.ke/politics/article/2001542102/revealed-how-sh100-million-was-raised-to-impeach-mwangaza,2026-03-06 11:57:00,Revealed How Sh100 million was raised to impeach Mwangaza,2026-03-06,11,0.0,0.0,Neutral
"Stop hoodwinking Nyanza, UGM tells government",Politics,https://www.standardmedia.co.ke/politics/article/2001542104/stop-hoodwinking-nyanza-ugm-tells-government,2026-03-06 11:57:00,"Stop hoodwinking Nyanza, UGM tells government",2026-03-06,11,0.0,0.0,Neutral
Sifuna: ODM-Ruto pact will send party 'straight to the opposition',Politics,https://www.standardmedia.co.ke/politics/article/2001542119/sifuna-odm-ruto-pact-will-send-party-straight-to-the-opposition,2026-03-06 11:57:00,Sifuna ODM-Ruto pact will send party 'straight to the opposition',2026-03-06,11,0.2,0.4,Positive
This man Ngeno: Why MP defied William Ruto,Politics,https://www.standardmedia.co.ke/politics/article/2001542048/this-man-ngeno-why-mp-defied-william-ruto,2026-03-06 11:57:00,This man Ngeno Why MP defied William Ruto,2026-03-06,11,0.0,0.0,Neutral
